domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
www.cbp.gov,No,Yes,2,1,2025-10-21T00:00:00,2026-10-23T23:59:59,21885448362;21974683208,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
www.dhs.gov,Yes,No,2,1,2025-10-21T00:00:00,2026-10-23T23:59:59,21885448362;21974683208,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
www.help.cbp.gov,No,Yes,36,2,2025-09-21T00:00:00,2026-09-22T23:59:59,24760249011;24760208579;22646100500;24746673260;21204032748;22441660634;21974901178;22240738774;22418073812;23058097464;23764632024;24922549761;22543193739;24922511990;24746718449;24520217806;22646084940;24616747173;21166901885;22418054317;22441677488;24520174904;22543159195;21254519361;21166729553;24943014306;24760283582;24616796257;21209045308;24899988271;24540764352;23764672054;21209054120;21974682909;24899940204;24540793480,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www.helpspanish.cbp.gov,No,Yes,36,2,2025-09-21T00:00:00,2026-09-22T23:59:59,24760249011;24760208579;22646100500;24746673260;21204032748;22441660634;21974901178;22240738774;22418073812;23058097464;23764632024;24922549761;22543193739;24922511990;24746718449;24520217806;22646084940;24616747173;21166901885;22418054317;22441677488;24520174904;22543159195;21254519361;21166729553;24943014306;24760283582;24616796257;21209045308;24899988271;24540764352;23764672054;21209054120;21974682909;24899940204;24540793480,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www.homelandsecurity.gov,Yes,No,36,2,2025-09-21T00:00:00,2026-09-22T23:59:59,24760249011;24760208579;22646100500;24746673260;21204032748;22441660634;21974901178;22240738774;22418073812;23058097464;23764632024;24922549761;22543193739;24922511990;24746718449;24520217806;22646084940;24616747173;21166901885;22418054317;22441677488;24520174904;22543159195;21254519361;21166729553;24943014306;24760283582;24616796257;21209045308;24899988271;24540764352;23764672054;21209054120;21974682909;24899940204;24540793480,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www.labs.cbp.gov,No,Yes,36,2,2025-09-21T00:00:00,2026-09-22T23:59:59,24760249011;24760208579;22646100500;24746673260;21204032748;22441660634;21974901178;22240738774;22418073812;23058097464;23764632024;24922549761;22543193739;24922511990;24746718449;24520217806;22646084940;24616747173;21166901885;22418054317;22441677488;24520174904;22543159195;21254519361;21166729553;24943014306;24760283582;24616796257;21209045308;24899988271;24540764352;23764672054;21209054120;21974682909;24899940204;24540793480,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www.sectigo5.cbp.gov,No,Yes,2,1,2025-06-26T00:00:00,2026-06-26T23:59:59,19267816255;19267816254,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www.surveys.cbp.gov,No,Yes,6,1,2026-04-09T00:00:00,2026-10-24T23:59:59,25470600085;25470595220;25762954012;25470385248;25762950781;25762444113,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www3.dhs.gov,Yes,No,11,2,2026-02-09T00:00:00,2027-02-08T23:59:59,25313011763;24274056928;26827891567;25339704212;25522372638;24805020696;26827910261;25311199298;26827912771;25865556717;24274179177,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
www4.dhs.gov,Yes,No,6,2,2026-04-18T00:00:00,2026-12-20T23:59:59,26157198216;25562446938;25562479521;26916527129;26916504600;27397153120,"C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
